AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Library,1767,Photo,"Kenwood House, Hampstead Heath, London",https://www.wga.hu/html/a/adam2/kenwood.html,architecture,interior,Scottish,1751-1800
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Stairwell,1773-76,Photo,"20 Portman Square, London",https://www.wga.hu/html/a/adam2/portman1.html,architecture,interior,Scottish,1751-1800
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Cupola of the stairwell,1773-76,Photo,"20 Portman Square, London",https://www.wga.hu/html/a/adam2/portman2.html,architecture,interior,Scottish,1751-1800
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Music Room,1773-76,Photo,"20 Portman Square, London",https://www.wga.hu/html/a/adam2/portman3.html,architecture,interior,Scottish,1751-1800
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Interior view,1763-64,Photo,"Syon House, Brentford, Middlesex",https://www.wga.hu/html/a/adam2/syon1.html,architecture,interior,Scottish,1751-1800
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Interior view,1763-64,Photo,"Syon House, Brentford, Middlesex",https://www.wga.hu/html/a/adam2/syon2.html,architecture,interior,Scottish,1751-1800
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Interior view,1763-64,Photo,"Syon House, Brentford, Middlesex",https://www.wga.hu/html/a/adam2/syon3.html,architecture,interior,Scottish,1751-1800
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Interior view,1761,Photo,"Syon House, Brentford, Middlesex",https://www.wga.hu/html/a/adam2/syon4.html,architecture,interior,Scottish,1751-1800
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Interior view,1761,Photo,"Syon House, Brentford, Middlesex",https://www.wga.hu/html/a/adam2/syon5.html,architecture,interior,Scottish,1751-1800
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Interior view,1763-64,Photo,"Syon House, Brentford, Middlesex",https://www.wga.hu/html/a/adam2/syon6.html,architecture,interior,Scottish,1751-1800
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Gateway,1773,Photo,"Syon House, Brentford, Middlesex",https://www.wga.hu/html/a/adam2/syon7.html,architecture,other,Scottish,1751-1800
"ADAM-SALOMON, Antoine-Samuel","(b. 1818, La Ferte-sous-Jouarre, d. 1881, Paris)",Bust of Isaac Péreire,-,"White marble, height 77 cm",Private collection,https://www.wga.hu/html/a/adam-sal/pereire.html,sculpture,portrait,French,1851-1900
"ADELCRANTZ, Carl Fredrik","(b. 1716, Stockholm, d. 1796, Stockholm)",Exterior view,1766,Photo,"Palace Theatre, Drottningholm",https://www.wga.hu/html/a/adelcran/theatre1.html,architecture,other,Swedish,1751-1800
"ADELCRANTZ, Carl Fredrik","(b. 1716, Stockholm, d. 1796, Stockholm)",Interior view,1766,Photo,"Palace Theatre, Drottningholm",https://www.wga.hu/html/a/adelcran/theatre2.html,architecture,interior,Swedish,1751-1800
"ADEMOLLO, Luigi","(b. 1764, Milano, d. 1849, Firenze)",View of the Room of the Ark,1816,Fresco,"Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/html/a/ademollo/ark.html,painting,religious,Italian,1801-1850
"ADEMOLLO, Luigi","(b. 1764, Milano, d. 1849, Firenze)",View of the Room of the Ark,1816,Fresco,"Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/html/a/ademollo/ark1.html,painting,interior,Italian,1801-1850
"ADEMOLLO, Luigi","(b. 1764, Milano, d. 1849, Firenze)",The Menorah,1816,Fresco,"Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/html/a/ademollo/ark2.html,painting,religious,Italian,1801-1850
"ADEMOLLO, Luigi","(b. 1764, Milano, d. 1849, Firenze)",Transportation of the Ark of the Covenant Containing the Tablets of the Law,1816,Fresco,"Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/html/a/ademollo/ark3.html,painting,religious,Italian,1801-1850
"ADEMOLLO, Luigi","(b. 1764, Milano, d. 1849, Firenze)",View of the Palatine Chapel,1800s,Fresco,"Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/html/a/ademollo/chapel.html,painting,interior,Italian,1801-1850
"ADEMOLLO, Luigi","(b. 1764, Milano, d. 1849, Firenze)",Episodes in Roman History,1820s,Fresco,"Palazzo Ducale, Lucca",https://www.wga.hu/html/a/ademollo/lucca1.html,painting,historical,Italian,1801-1850
"ADEMOLLO, Luigi","(b. 1764, Milano, d. 1849, Firenze)",Episodes in Roman History,1820s,Fresco,"Palazzo Ducale, Lucca",https://www.wga.hu/html/a/ademollo/lucca2.html,painting,historical,Italian,1801-1850
"ADEMOLLO, Luigi","(b. 1764, Milano, d. 1849, Firenze)",Episodes in Roman History,1820s,Fresco,"Palazzo Ducale, Lucca",https://www.wga.hu/html/a/ademollo/lucca3.html,painting,historical,Italian,1801-1850
